VK;Wort;Prozent;Worteinordnung;filtername;kommt von…;Anmerkung;Sprache;schon bearbeitet
9;WINS;0.22 %;;sieg;;filter1;e;x
9;2DDS;0.22 %;;;;ersetzt;;x
9;START;0.22 %;;;;unwichtig;;x
9;FURY;0.22 %;entlehnung;;krieger mit furorfertigkeitsbaum;klasse;e;x
9;JA;0.22 %;;;;unwichtig;;x
9;BGS;0.22 %;;schlachtfeld;;filter1;e;x
9;BEIDE;0.22 %;;;;unwichtig;;x
9;O;0.22 %;;;;unwichtig;;x
9;SP;0.22 %;initialkurzwort;;shadowpriest;;e;x
9;YU'LON;0.22 %;;;;unwichtig;;x
9;FüRS;0.22 %;;;;unwichtig;;x
9;KLASSEN;0.22 %;;;;unwichtig;;x
9;EQ;0.22 %;mischkurzwort;ausrüstung;ausrüstung;filter1;e;x
9;ITEMS;0.22 %;entlehnung;gegenstand;gegenstand;;e;x
9;PORTAL;0.22 %;;;;unwichtig;;x
9;WHISPER;0.22 %;;flüstern;;filter1;e;x
9;ANDERE;0.22 %;;;;unwichtig;;x
9;HEALMONK;0.22 %;entlehnung;mönch-nebelwirker;mönch mit nebelwirkerfertigkeitsbaum;klasse;e;x
9;SCHAMANE;0.22 %;;schamane;schamane;klasse;;x
9;SCHURKEN;0.22 %;;schurke;schurke;klasse;;x
9;SHAMY;0.22 %;kopfwort;schamane;schamane;klasse;e;x
9;70ER;0.22 %;numeral;;level;;;x
8;FIRELANDS;0.2 %;entlehnung;feuerlande;feuerlande;instanz;e;x
8;MDD;0.2 %;initialkurzwort;;melee damage dealer;;e;x
8;PM;0.2 %;initialkurzwort;;private message;;e;x
8;2TANKS;0.2 %;;;;ersetzt;;x
8;DIZI;0.2 %;kopfwort;priester-disziplin;priester mit disziplinfertigkeitsbaum;klasse;;x
8;DUDU-HEAL;0.2 %;mischkurzwort;druide-wiederherstellung;druide mit wiederherstellungsfertigkeitsbaum;klasse;e;x
8;FMAGE;0.2 %;partielles kurzwort;magier-frost;magier mit frostfertigkeitsbaum;klasse;e;x
8;ACV;0.2 %;mischkurzwort;erfolge;achievement;filter1;e;x
8;SCHLEIFER;0.2 %;endwort;;juwelenschleifer;;;x
8;0/1;0.2 %;;;;unwichtig;;x
8;PANDARIA;0.2 %;;;;unwichtig;;x
8;KNOCHENSPINNE;0.2 %;;;;unwichtig;;x
8;DICH;0.2 %;;;;unwichtig;;x
8;ER;0.2 %;;;;unwichtig;;x
8;PARTNER;0.2 %;;;;unwichtig;;x
8;SCHICKEN;0.2 %;;;;unwichtig;;x
8;SPEED;0.2 %;entlehnung;;speed run;;e;x
8;GESEHEN;0.2 %;;;;unwichtig;;x
8;STEMPEL;0.2 %;;;;unwichtig;;x
8;UNTERSCHREIBEN;0.2 %;;;;unwichtig;;x
8;TOTAL;0.2 %;;;;unwichtig;;x
8;LEDER;0.2 %;;;;unwichtig;;x
8;ERST;0.2 %;;;;unwichtig;;x
8;POSTEN;0.2 %;;;;unwichtig;;x
8;SCHNEIDER;0.2 %;;;;unwichtig;;x
8;ITEM;0.2 %;entlehnung;gegenstand;gegenstand;filter1;e;x
8;ERFOLG;0.2 %;;erfolge;erfolge;filter1;;x
8;ASS;0.2 %;;;;unwichtig;;x
8;SW;0.2 %;initialkurzwort;;stormwind;;e;x
8;GARROSH;0.2 %;;;;unwichtig;;x
8;WOW;0.2 %;initialkurzwort;;world of warcraft;;e;x
8;ILVL490;0.2 %;;;;ersetzt;;x
8;FENG;0.2 %;;;;unwichtig;;x
8;HC),START;0.2 %;;;;unwichtig;;x
8;ETWAS;0.2 %;;;;unwichtig;;x
8;MöGLICH;0.2 %;;;;unwichtig;;x
8;T;0.2 %;;;;unwichtig;;x
8;HOF;0.2 %;;;;unwichtig;;x
8;AEGWYNN;0.2 %;;;;unwichtig;;x
8;RUSH;0.2 %;entlehnung;eiltempo;eiltempo;filter1;e;x
8;MACHT;0.2 %;;;;unwichtig;;x
8;ZIEHT;0.2 %;;;;unwichtig;;x
8;LETZTEN;0.2 %;;;;unwichtig;;x
8;FEUERGEIST;0.2 %;;;;unwichtig;;x
8;TEMPEL;0.2 %;;;;unwichtig;;x
8;WIEDER;0.2 %;;;;unwichtig;;x
8;SCHWARZE;0.2 %;;;;unwichtig;;x
8;DUNKELMOND-KANINCHEN;0.2 %;;;;unwichtig;;x
8;EHRE;0.2 %;;;;unwichtig;;x
8;INV;0.2 %;kopfwort;;invite;;e;x
8;PALA-HEAL;0.2 %;mischkurzwort;paladin-heilig;paladin mit heiligfertigkeitsbaum;klasse;e;x
8;RET;0.2 %;;;;unwichtig;;x
7;20ER;0.17 %;numeral;;;;;x
7;3ER;0.17 %;numeral;;;;;x
7;BWL;0.17 %;initialkurzwort;;blackwing lair;instanz;e;x
7;IF;0.17 %;initialkurzwort;;ironforge;;e;x
7;MMR;0.17 %;initialkurzwort;;match-making-rating;;e;x
7;SONNTAG;0.17 %;;;;unwichtig;;x
7;2,2XP;0.17 %;;;;unwichtig;;x
7;UNTER;0.17 %;;;;unwichtig;;x
7;HOCHSPIELEN;0.17 %;;;;unwichtig;;x
7;0/3;0.17 %;;;;unwichtig;;x
7;DRACHENSEELE;0.17 %;;;;unwichtig;;x
7;üBER;0.17 %;;;;unwichtig;;x
7;X;0.17 %;;;;unwichtig;;x
7;BEWERBUNG;0.17 %;;;;unwichtig;;x
7;WEITERE;0.17 %;;;;unwichtig;;x
7;NEFARIAN;0.17 %;;;;unwichtig;;x
7;STüCK;0.17 %;;;;unwichtig;;x
7;<;0.17 %;;;;unwichtig;;x
7;SCHMIEDEKUNST;0.17 %;;;;unwichtig;;x
7;MUSTER;0.17 %;;;;unwichtig;;x
7;ORIENTIERTE;0.17 %;;;;unwichtig;;x
7;KLEINES;0.17 %;;;;unwichtig;;x
7;BOCK;0.17 %;;;;unwichtig;;x
7;SONST;0.17 %;;;;unwichtig;;x
7;FRAGMENTE;0.17 %;;;;unwichtig;;x
7;YOU;0.17 %;;;;unwichtig;;x
7;SCHAMIE;0.17 %;;;;unwichtig;;x
7;E;0.17 %;;;;unwichtig;;x
7;LOS;0.17 %;;;;unwichtig;;x
7;ALLEN;0.17 %;;;;unwichtig;;x
7;PUSHEN;0.17 %;entlehnung;vorantreiben;vorantreiben;filter1;e;x
7;T1(2/2;0.17 %;;;;unwichtig;;x
7;A;0.17 %;;;;unwichtig;;x
7;WILKOMEN;0.17 %;;;;unwichtig;;x
7;KATHE;0.17 %;;;;unwichtig;;x
7;ENDBOSS;0.17 %;;;;unwichtig;;x
7;RüR;0.17 %;;;;unwichtig;;x
7;GLADI;0.17 %;kopfwort;;gladiator;;;x
7;STAMMGRUPPE;0.17 %;;stammgruppe;;;;x
7;04.Mai;0.17 %;;;;unwichtig;;x
7;SCHNELLEN;0.17 %;;;;unwichtig;;x
7;BLUT;0.17 %;;;;unwichtig;;x
7;1TC;0.17 %;;;;ersetzt;;x
7;IHRE;0.17 %;;;;unwichtig;;x
7;R;0.17 %;;;;unwichtig;;x
7;2.GILDENSTAMMGRUPPE;0.17 %;;;;unwichtig;;x
7;SCHMIED;0.17 %;;;;unwichtig;;x
7;ALL;0.17 %;;;;unwichtig;;x
7;INI;0.17 %;mischkurzwort;instanz;instanz;;e;x
7;ALSO;0.17 %;;;;unwichtig;;x
7;GLAD;0.17 %;;;;unwichtig;;x
7;RAIDEN;0.17 %;entlehnung;;to raid: überfallen;;e;x
7;FIX;0.17 %;;;;unwichtig;;x
7;HAB;0.17 %;;;;unwichtig;;x
7;WELCHE;0.17 %;;;;unwichtig;;x
7;SPRIEST;0.17 %;partielles kurzwort;priester-schatten;priester mit schattenfertigkeitsbaum;klasse;e;x
6;10NER;0.15 %;numeral;;;ersetzt;;x
6;BC;0.15 %;initialkurzwort;;burning crusade;;e;x
6;LFR;0.15 %;initialkurzwort;;looking for raid;;e;x
6;0/2TANKS;0.15 %;;;;ersetzt;;x
6;FROSTDK;0.15 %;mischkurzwort;todesritter-frost;todesritter mit frostfertigkeitsbaum;klasse;e;x
6;GEARC;0.15 %;kopfwort;gearcheck;gearcheck;;e;x
6;OMEN;0.15 %;;;;unwichtig;;x
6;WAHNSINN;0.15 %;;;;unwichtig;;x
6;KURZ;0.15 %;;;;unwichtig;;x
6;GAME;0.15 %;entlehnung;spiel;spiel;;e;x
6;BERNFORMER;0.15 %;;;;unwichtig;;x
6;BLUTES;0.15 %;;;;unwichtig;;x
6;TODESSCHWINGES;0.15 %;;;;unwichtig;;x
6;RAIDGILDE;0.15 %;entlehnung;;gilde, spezialisiert auf raids;;e;x
6;ABEND;0.15 %;;;;unwichtig;;x
6;SCHON;0.15 %;;;;unwichtig;;x
6;UNGEZäHMTES;0.15 %;;;;unwichtig;;x
6;HEALSCHAMI;0.15 %;mischkurzwort;schamane-wiederherstellung;schamane mit wiederherstellungfertigkeitsbaum;klasse;e;x
6;WELCHES;0.15 %;;;;unwichtig;;x
6;GUTES;0.15 %;;;;unwichtig;;x
6;H;0.15 %;;;;unwichtig;;x
6;AUFBAU;0.15 %;;;;unwichtig;;x
6;I;0.15 %;;;;unwichtig;;x
6;ZWEITEM;0.15 %;;;;unwichtig;;x
6;01.Feb;0.15 %;;;;unwichtig;;x
6;HAUPTSTADT;0.15 %;;;;unwichtig;;x
6;LIVING;0.15 %;;;;unwichtig;;x
6;MASSIG;0.15 %;;;;unwichtig;;x
6;GENAU;0.15 %;;;;unwichtig;;x
6;GEMACHT;0.15 %;;;;unwichtig;;x
6;RT8;0.15 %;;;;unwichtig;;x
6;CATA;0.15 %;kopfwort;;cataclysm;;e;x
6;KLEINE;0.15 %;;;;unwichtig;;x
6;BIETEN;0.15 %;;;;unwichtig;;x
6;N;0.15 %;;;;unwichtig;;x
6;TWINK;0.15 %;entlehnung;zweitcharakter;zweitcharakter;filter1;e;x
6;WITH;0.15 %;;;;unwichtig;;x
6;PORTALE;0.15 %;;;;unwichtig;;x
6;DREI;0.15 %;;;;unwichtig;;x
6;VERSTäRKUNG;0.15 %;;;;unwichtig;;x
6;LOOT;0.15 %;entlehnung;;beute;;e;x
6;RBG-GRP;0.15 %;;;;ersetzt;;x
6;BAND;0.15 %;;;;unwichtig;;x
6;HC´S;0.15 %;klammerwort;heroisch;heroic;filter1;e;x
6;GEISTER;0.15 %;;;;unwichtig;;x
6;RANGED;0.15 %;entlehnung;distanzkämpfer;ranged damagedealer;filter1;e;x
6;EREDAR;0.15 %;;;;unwichtig;;x
6;RBG-GRUPPE;0.15 %;;;;ersetzt;;x
6;RAIDTAGE;0.15 %;entlehnung;;schlachtzugstage;;e;x
6;MIND.470;0.15 %;;;;unwichtig;;x
6;FC/ARMS;0.15 %;;;;unwichtig;;x
6;DUNKELMOND-PANZER;0.15 %;;;;unwichtig;;x
6;ITEMLVL;0.15 %;mischkurzwort;itemlevel;itemlevel;filter1;e;x
6;Jun.16;0.15 %;;;;unwichtig;;x
6;VERZ;0.15 %;kopfwort;verzauberer;verzauberer;filter1;;x
6;HAUSTIERE;0.15 %;;;;unwichtig;;x
6;RT2;0.15 %;;;;unwichtig;;x
6;QUESTS;0.15 %;entlehnung;aufgabe;aufgaben;filter1;e;x
6;SAGEN;0.15 %;;;;unwichtig;;x
6;STERNENLICHTTINTE;0.15 %;;;;unwichtig;;x
6;TCG;0.15 %;initialkurzwort;;trading card game;;e;x
6;1,9LR;0.15 %;;;;ersetzt;;x
6;GOLDTAUSCH;0.15 %;;;;unwichtig;;x
6;SILBER;0.15 %;;;;unwichtig;;x
6;GROßE;0.15 %;;;;unwichtig;;x
6;MORGEN;0.15 %;;;;unwichtig;;x
6;TDF;0.15 %;initialkurzwort;;terasse des endlosen frühlings;instanz;;x
6;RAIDZEITEN;0.15 %;entlehnung;;;;e;x
6;NAXX;0.15 %;kopfwort;;naxxramas;instanz;;x
6;ALANI;0.15 %;;;;unwichtig;;x
6;NONHC;0.15 %;klammerwort;nicht-heroisch;non-heroic;filter1;e;x
6;SPEKTRALTIGER;0.15 %;;;;unwichtig;;x
6;GET;0.15 %;;;;unwichtig;;x
6;ESSENZ;0.15 %;;;;unwichtig;;x
6;WILLE;0.15 %;;;;unwichtig;;x
6;VORTEIL;0.15 %;;;;unwichtig;;x
6;JEDER;0.15 %;;;;unwichtig;;x
6;STYLERUN;0.15 %;entlehnung;;schlachtzug für optisch ansprechende ausrüstung;;e;x
6;02.Mär;0.15 %;;;;unwichtig;;x
6;NEUEN;0.15 %;;;;unwichtig;;x
6;MEELE;0.15 %;;;;ersetzt;;x
6;LEVEL;0.15 %;entlehnung;;stufe;;e;x
6;NEMESIS;0.15 %;;;;unwichtig;;x
6;HALION;0.15 %;;;;unwichtig;;x
6;HEXENMEISTER;0.15 %;;;;klasse;;x
6;NOCHMAL;0.15 %;;;;unwichtig;;x
6;ONYXPANTHER;0.15 %;;;;unwichtig;;x
6;JUWELENBESETZTER;0.15 %;;;;unwichtig;;x
6;W.ME;0.15 %;;;;ersetzt;;x
6;ZORNS;0.15 %;;;;unwichtig;;x
6;LMF;0.15 %;;;;ersetzt;;x
6;MAGIER;0.15 %;;magier;magier;klasse;;x
6;MöNCH;0.15 %;;mönch;mönch;klasse;;x
6;OWL;0.15 %;entlehnung;druide-gleichgewicht;druide mit gleichgewichtsfertigkeitsbaum;klasse;e;x
6;PALLY;0.15 %;mischkurzwort;paladin;paladin;klasse;e;x
6;RESTRO;0.15 %;kopfwort;klasse-wiederherstellung;klasse mit wiederherstellungfertigkeitsbaum;klasse;e;x
6;RSHAMY;0.15 %;mischkurzwort;schamane-wiederherstellung;schamane mit wiederherstellungfertigkeitsbaum;klasse;e;x
6;WW;0.15 %;;;;ersetzt;;x
6;485ER;0.15 %;numeral;;;unwichtig;;x
5;3O3;0.12 %;numeral;;;;;x
5;450K;0.12 %;numeral;;;unwichtig;;x
5;DD´LER;0.12 %;initialkurzwort;schadensverursacher;damage dealer;filter1;e;x
5;ICC10;0.12 %;initialkurzwort;;ice crown citadel 10 pers.;instanz;e;x
5;475ER;0.12 %;numeral;;;unwichtig;;x
5;1/2TANKS;0.12 %;;;;ersetzt;;x
5;1HPALY;0.12 %;;;;ersetzt;;x
5;1XEULE;0.12 %;;;;ersetzt;;x
5;DESTRU;0.12 %;mischkurzwort;hexer-zerstörung;hexer mit zerstörungsfertigkeitsbaum;klasse;e;x
5;DK-FROST;0.12 %;;;;ersetzt;;x
5;HEALDRUID;0.12 %;entlehnung;druide-wiederherstellung;druide mit wiederherstellungsfertigkeitsbaum;klasse;e;x
5;22UHR;0.12 %;;;;unwichtig;;x
5;STACKS;0.12 %;entlehnung;stapel;stapel;filter1;e;x
5;LOW-RBG;0.12 %;entlehnung;lowrbg;niedrig gewertetes schlachtfeld;filter1;e;x
5;WILDER;0.12 %;;;;unwichtig;;x
5;LIEBE;0.12 %;;;;unwichtig;;x
5;GEARCECK;0.12 %;;;;ersetzt;;x
5;LEADER;0.12 %;entlehnung;anführer;anführer;;e;x
5;IHREN;0.12 %;;;;unwichtig;;x
5;REKRUTIERT;0.12 %;;;;unwichtig;;x
5;INIS;0.12 %;mischkurzwort;instanz;instanz;filter1;e;x
5;DO;0.12 %;;;;unwichtig;;x
5;04.Sep;0.12 %;;;;unwichtig;;x
5;PFLICHT;0.12 %;;;;unwichtig;;x
5;KLINGE;0.12 %;;;;unwichtig;;x
5;GOO!!/W;0.12 %;;;;ersetzt;;x
5;AUSNAHME;0.12 %;;;;unwichtig;;x
5;5-6HC;0.12 %;;;;ersetzt;;x
5;TIGER;0.12 %;;;;unwichtig;;x
5;LR!PLS;0.12 %;;;;ersetzt;;x
5;DKW;0.12 %;;;;unwichtig;;x
5;14/16;0.12 %;;;;unwichtig;;x
5;FäHIGE;0.12 %;;;;unwichtig;;x
5;WWW.DKW-RAID.DE;0.12 %;;;;unwichtig;;x
5;NN;0.12 %;initialkurzwort;;nachnahme;;e;x
5;OB;0.12 %;;;;unwichtig;;x
5;PLATTEN;0.12 %;;;;unwichtig;;x
5;YOUR;0.12 %;;;;unwichtig;;x
5;SCHUTZES;0.12 %;;;;unwichtig;;x
5;WOGENDE;0.12 %;;;;unwichtig;;x
5;RBG/ARENA;0.12 %;;;;ersetzt;;x
5;HELP;0.12 %;;;;unwichtig;;x
5;ACCESS;0.12 %;;;;unwichtig;;x
5;MOGUSHANGEWöLBE;0.12 %;;;;unwichtig;;x
5;KUPFERBARREN;0.12 %;;;;unwichtig;;x
5;SUCH;0.12 %;;suche;;filter1;;x
5;MONTAG;0.12 %;;;;unwichtig;;x
5;XY;0.12 %;;;;unwichtig;;x
5;CHROMINIUS;0.12 %;;;;unwichtig;;x
5;ICC25ER;0.12 %;;;;ersetzt;;x
5;BRUSTSCHUTZ;0.12 %;;;;unwichtig;;x
5;WEAPON;0.12 %;;;;unwichtig;;x
5;ERWüNSCHT;0.12 %;;;;unwichtig;;x
5;HERGESTELLT;0.12 %;;;;unwichtig;;x
5;STEMPEL/LABEL;0.12 %;;;;unwichtig;;x
5;ARENACAP;0.12 %;;;;ersetzt;;x
5;HI;0.12 %;;;;unwichtig;;x
5;WERTUNG;0.12 %;;;;unwichtig;;x
5;VERDIENEN;0.12 %;;;;unwichtig;;x
5;JUST4FUN;0.12 %;homophone abkürzung;spass;nur zum spass;filter1;e;x
5;500G;0.12 %;;;;unwichtig;;x
5;GOLDLOTUS;0.12 %;;;;unwichtig;;x
5;SCHNEIDEREI;0.12 %;;;;unwichtig;;x
5;BOOST;0.12 %;entlehnung;;verstärkung;;e;x
5;GEMüTLICHE;0.12 %;;;;unwichtig;;x
5;ALLEM;0.12 %;;;;unwichtig;;x
5;PREISVORSTELLUNG;0.12 %;;;;unwichtig;;x
5;KNOCHEN;0.12 %;;;;unwichtig;;x
5;GEWANDUNG;0.12 %;;;;unwichtig;;x
5;GAMES;0.12 %;entlehnung;spiel;spiel;filter1;e;x
5;IHRES;0.12 %;;;;unwichtig;;x
5;THIS;0.12 %;;;;unwichtig;;x
5;INVITE;0.12 %;entlehnung;;einladung;;e;x
5;ONE;0.12 %;;;;unwichtig;;x
5;Nov.16;0.12 %;;;;unwichtig;;x
5;WILLKOMMEN;0.12 %;;;;unwichtig;;x
5;K;0.12 %;;;;unwichtig;;x
5;GG;0.12 %;mischkurzwort;;gegen;;;x
5;PREF;0.12 %;kopfwort;;prefered;;e;x
5;KOSMISCHE;0.12 %;;;;unwichtig;;x
5;INFORMATIONEN;0.12 %;;;;unwichtig;;x
5;FROSTSTOFF;0.12 %;;;;unwichtig;;x
5;BESUCHT;0.12 %;;;;unwichtig;;x
5;Apr.16;0.12 %;;;;unwichtig;;x
5;"<magic< td=""""></magic<>";0.12 %;;;;unwichtig;;x
5;EFFECTS;0.12 %;;;;unwichtig;;x
5;GEMEINSAMES;0.12 %;;;;unwichtig;;x
5;NO;0.12 %;;;;unwichtig;;x
5;1FC;0.12 %;;;;ersetzt;;x
5;WISPER;0.12 %;;;;ersetzt;;x
5;0/4;0.12 %;;;;unwichtig;;x
5;TAGE;0.12 %;;;;unwichtig;;x
5;CAPMATE;0.12 %;entlehnung;;pvp teamkollege;;e;x
5;PAPAGEIENKäFIG;0.12 %;;;;unwichtig;;x
5;RAIDGRUPPE;0.12 %;entlehnung;;;;e;x
5;FC/MS;0.12 %;;;;ersetzt;;x
5;NEUAUFBAU;0.12 %;;;;unwichtig;;x
5;IHRER;0.12 %;;;;unwichtig;;x
5;482GS;0.12 %;;;;ersetzt;;x
5;EINSAM;0.12 %;;;;unwichtig;;x
5;STARKEN;0.12 %;;;;unwichtig;;x
5;350G;0.12 %;;;;unwichtig;;x
5;NIX;0.12 %;;;;unwichtig;;x
5;WOLLEN;0.12 %;;;;unwichtig;;x
5;JUWELENSCHLEIFEN;0.12 %;;;;unwichtig;;x
5;J4F;0.12 %;homophone abkürzung;spass;nur zum spass;filter1;e;x
5;SOME;0.12 %;;;;unwichtig;;x
5;BLACKROCK;0.12 %;;;;unwichtig;;x
5;SPIEL;0.12 %;;;;unwichtig;;x
5;STEHT;0.12 %;;;;unwichtig;;x
5;KAUFEN;0.12 %;;;;unwichtig;;x
5;RUM;0.12 %;;;;unwichtig;;x
5;WAR;0.12 %;;;;unwichtig;;x
5;FREITAG;0.12 %;;;;unwichtig;;x
5;FORMEL;0.12 %;;;;unwichtig;;x
5;HPALY;0.12 %;mischkurzwort;paladin-heilig;paladin mit heiligfertigkeitsbaum;klasse;e;x
5;SCHAMANE-HEAL;0.12 %;mischkurzwort;schamane-wiederherstellung;schamane mit wiederherstellungfertigkeitsbaum;klasse;e;x
5;SHAMI/PRIEST/MONK;0.12 %;;;;ersetzt;;x
5;5V5;0.12 %;numeral;;;;;x
5;SCHOLO;0.12 %;kopfwort;;scholomance;instanz;e;x
5;90ER;0.12 %;numeral;;level;;;x
5;SUNWELL;0.12 %;kopfwort;;sonnenbrunnenplateau;instanz;e;x
4;3´S;0.1 %;numeral;;;;;x
4;BOT;0.1 %;initialkurzwort;bastion;bastion of twilight;instanz;e;x
4;DPS;0.1 %;initialkurzwort;;damage per second;;e;x
4;MG10;0.1 %;initialkurzwort;mogu'shangewölbe;mogu'shangewölbe 10 pers.;instanz;;x
4;1EULE/SHADOW/FDK;0.1 %;;;;ersetzt;;x
4;1TANKS;0.1 %;;;;ersetzt;;x
4;2HEALS;0.1 %;;;;ersetzt;;x
4;DISC;0.1 %;kopfwort;priester-disziplin;priester mit disziplinfertigkeitsbaum;klasse;e;x
4;DROOD;0.1 %;mischkurzwort;druide;druide;klasse;e;x
4;CAPWIN;0.1 %;entlehnung;;sieg für das eroberungspunktecap;;e;x
4;HEALDROOD;0.1 %;entlehnung;druide-wiederherstellung;druide mit wiederherstellungsfertigkeitsbaum;klasse;e;x
4;HEXER,1;0.1 %;;;;ersetzt;;x
4;NEW;0.1 %;;;;unwichtig;;x
4;V;0.1 %;;;;unwichtig;;x
4;1+2;0.1 %;;;;unwichtig;;x
4;ALT;0.1 %;;;;unwichtig;;x
4;SUCHTE;0.1 %;;;;unwichtig;;x
4;WäRE;0.1 %;;;;unwichtig;;x
4;ANDERES;0.1 %;;;;unwichtig;;x
4;NICHTS;0.1 %;;;;unwichtig;;x
4;HPALADIN;0.1 %;partielles kurzwort;paladin-heilig;paladin mit heiligfertigkeitsbaum;klasse;e;x
4;DENN;0.1 %;;;;unwichtig;;x
4;PSA;0.1 %;initialkurzwort;pechschwingenabstieg;pechschwingenabstieg;instanz;;x
4;SAFE;0.1 %;;;;unwichtig;;x
4;BOSSERKLäRUNG;0.1 %;;;;unwichtig;;x
4;VIEL;0.1 %;;;;unwichtig;;x
4;BEKOMME;0.1 %;;;;unwichtig;;x
4;KRANICHE;0.1 %;;;;unwichtig;;x
4;HAST;0.1 %;;;;unwichtig;;x
4;MITGLIEDER;0.1 %;;;;unwichtig;;x
4;WANN;0.1 %;;;;unwichtig;;x
4;BEIDEN;0.1 %;;;;unwichtig;;x
4;RAITING;0.1 %;;;;ersetzt;;x
4;GEISTEREISENERZ;0.1 %;;;;unwichtig;;x
4;GERECHTIGKEITSPUNKTE;0.1 %;;;;unwichtig;;x
4;RUN/W;0.1 %;;;;ersetzt;;x
4;GROUP;0.1 %;entlehnung;gruppe;gruppe;filter1;e;x
4;NEM;0.1 %;;;;unwichtig;;x
4;GEISTEREISENSCHLIEßKASSETTE;0.1 %;;;;unwichtig;;x
4;DI;0.1 %;;;;unwichtig;;x
4;VIELE;0.1 %;;;;unwichtig;;x
4;TITLES;0.1 %;;;;unwichtig;;x
4;ZWIELICHTKLINGE;0.1 %;;;;unwichtig;;x
4;USW;0.1 %;;;;unwichtig;;x
4;RGB;0.1 %;;;;unwichtig;;x
4;INGI;0.1 %;mischkurzwort;;ingenieur;;;x
4;MüSST;0.1 %;;;;unwichtig;;x
4;DAUERT;0.1 %;;;;unwichtig;;x
4;ERFOLG^^;0.1 %;;;;ersetzt;;x
4;1,7LR;0.1 %;;;;ersetzt;;x
4;KOMMT;0.1 %;;;;unwichtig;;x
4;PVPLER;0.1 %;initialkurzwort;;pvp-spieler;;e;x
4;ARMSCHIENE;0.1 %;;;;unwichtig;;x
4;PKT;0.1 %;mischkurzwort;;punkte;;;x
4;MESUCHEN;0.1 %;;;;unwichtig;;x
4;NEU;0.1 %;;;;unwichtig;;x
4;ACCOUNT;0.1 %;;;;unwichtig;;x
4;EXP:1900;0.1 %;;;;ersetzt;;x
4;INFO´S;0.1 %;;;;unwichtig;;x
4;ERSTKLASSIGE;0.1 %;;;;unwichtig;;x
4;FROSTWOLF;0.1 %;;;;unwichtig;;x
4;TG{SZ6;0.1 %;;;;ersetzt;;x
4;RAMPONIERTER;0.1 %;;;;unwichtig;;x
4;SCHWERTGRIFF;0.1 %;;;;unwichtig;;x
4;KILL;0.1 %;;;;unwichtig;;x
4;03.Apr;0.1 %;;;;unwichtig;;x
4;SOFORT;0.1 %;;;;unwichtig;;x
4;LIEGT;0.1 %;;;;unwichtig;;x
4;SZ6}BIETE;0.1 %;;;;ersetzt;;x
4;MEISTER;0.1 %;;;;unwichtig;;x
4;ACHIEVEMENTS;0.1 %;entlehnung;erfolge;erfolge;filter1;e;x
4;WEEK;0.1 %;;;;unwichtig;;x
4;VERKAUFT;0.1 %;;;;unwichtig;;x
4;STUNDE;0.1 %;;;;unwichtig;;x
4;VOR;0.1 %;;;;unwichtig;;x
4;VERKAUFEN;0.1 %;;;;unwichtig;;x
4;INTRESSE;0.1 %;;;;unwichtig;;x
4;OPEN;0.1 %;;;;unwichtig;;x
4;HATTE;0.1 %;;;;unwichtig;;x
4;2,3+CHARXP+T2;0.1 %;;;;unwichtig;;x
4;ERDGEIST;0.1 %;;;;unwichtig;;x
4;13:45;0.1 %;;;;unwichtig;;x
4;ELEGANTE;0.1 %;;;;unwichtig;;x
4;ETOSHIAS;0.1 %;;;;unwichtig;;x
4;BEGEISTERTE;0.1 %;;;;unwichtig;;x
4;CHALLENGEMODE;0.1 %;entlehnung;;challenge mode;;e;x
4;TRY;0.1 %;entlehnung;;versuch;;e;x
4;AKTIV;0.1 %;;;;unwichtig;;x
4;GAMECARD;0.1 %;entlehnung;;prepaid monatsabo;;e;x
4;EINEM;0.1 %;;;;unwichtig;;x
4;JO;0.1 %;;;;unwichtig;;x
4;INKL;0.1 %;;;;unwichtig;;x
4;18:40UHR;0.1 %;;;;unwichtig;;x
4;SCHöPFUNG;0.1 %;;;;unwichtig;;x
4;GUNDRAK;0.1 %;;;;unwichtig;;x
4;S;0.1 %;;;;unwichtig;;x
4;LEBENSRUNEN;0.1 %;;;;unwichtig;;x
4;VORH;0.1 %;kopfwort;;vorhanden;;;x
4;EVTL;0.1 %;;;;unwichtig;;x
4;HELFEN;0.1 %;;;;unwichtig;;x
4;LEDERHANDSCHUHE;0.1 %;;;;unwichtig;;x
4;HCS;0.1 %;klammerwort;heroisch;heroic;filter1;e;x
4;DIR;0.1 %;;;;unwichtig;;x
4;KENNT;0.1 %;;;;unwichtig;;x
4;X-51;0.1 %;;;;unwichtig;;x
4;JOHN.SAUNDER;0.1 %;;;;unwichtig;;x
4;HELFE;0.1 %;;;;unwichtig;;x
4;BRAUCHT;0.1 %;;;;unwichtig;;x
4;SCHLAGT;0.1 %;;;;unwichtig;;x
4;1WIN;0.1 %;;;;ersetzt;;x
4;DALARAN;0.1 %;;;;unwichtig;;x
4;ID-HEROISCH;0.1 %;;;;ersetzt;;x
4;GUILD;0.1 %;entlehnung;;gilde;;e;x
4;SPEEDRUN;0.1 %;entlehnung;;instanz besonders schnell durchlaufen;;e;x
4;HEAL/DD;0.1 %;;;;ersetzt;;x
4;LR+480+GEAR;0.1 %;;;;unwichtig;;x
4;X-TREM;0.1 %;homophone abkürzung;;extrem;;e;x
4;SEGEN;0.1 %;;;;unwichtig;;x
